,Unnamed: 0.1,Unnamed: 0,Finished Date,Question,Question URL,Status,Runtime,Language,Question Number,Submission Url,Title,Title Slug,Difficulty,Topic Tags
0,0,0,2024-07-26,Method Chaining,https://leetcode.com/problems/method-chaining,Accepted,388 ms,pythondata,2891.0,https://leetcode.com/problems/method-chaining/submissions/1333833692/,Method Chaining,method-chaining,Easy,
1,15,15,2024-07-26,Modify Columns,https://leetcode.com/problems/modify-columns,Accepted,373 ms,pythondata,,,Modify Columns,modify-columns,Easy,
2,26,26,2024-07-26,Contiguous Array,https://leetcode.com/problems/contiguous-array,Accepted,620 ms,python3,,,Contiguous Array,contiguous-array,Medium,"Array, Hash Table, Prefix Sum"
3,25,25,2024-07-26,Create a DataFrame from List,https://leetcode.com/problems/create-a-dataframe-from-list,Accepted,352 ms,pythondata,,,Create a DataFrame from List,create-a-dataframe-from-list,Easy,
4,24,24,2024-07-26,Get the Size of a DataFrame,https://leetcode.com/problems/get-the-size-of-a-dataframe,Accepted,360 ms,pythondata,,,Get the Size of a DataFrame,get-the-size-of-a-dataframe,Easy,
5,23,23,2024-07-26,Display the First Three Rows,https://leetcode.com/problems/display-the-first-three-rows,Accepted,406 ms,pythondata,,,Display the First Three Rows,display-the-first-three-rows,Easy,
6,22,22,2024-07-26,Select Data,https://leetcode.com/problems/select-data,Accepted,363 ms,pythondata,,,Select Data,select-data,Easy,
7,21,21,2024-07-26,Create a New Column,https://leetcode.com/problems/create-a-new-column,Accepted,372 ms,pythondata,,,Create a New Column,create-a-new-column,Easy,
8,20,20,2024-07-26,Drop Duplicate Rows,https://leetcode.com/problems/drop-duplicate-rows,Accepted,341 ms,pythondata,,,Drop Duplicate Rows,drop-duplicate-rows,Easy,
9,18,18,2024-07-26,Drop Missing Data,https://leetcode.com/problems/drop-missing-data,Accepted,409 ms,pythondata,,,Drop Missing Data,drop-missing-data,Easy,
10,27,27,2024-07-26,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,Accepted,271 ms,python3,,,Product of Array Except Self,product-of-array-except-self,Medium,"Array, Prefix Sum"
11,7,7,2024-07-26,Fill Missing Data,https://leetcode.com/problems/fill-missing-data,Accepted,336 ms,pythondata,2881.0,https://leetcode.com/problems/create-a-new-column/submissions/1333799099/,Fill Missing Data,fill-missing-data,Easy,
12,3,3,2024-07-26,Reshape Data: Melt,https://leetcode.com/problems/reshape-data-melt,Accepted,427 ms,pythondata,2877.0,https://leetcode.com/problems/create-a-dataframe-from-list/submissions/1333792828/,Reshape Data: Melt,reshape-data-melt,Easy,
13,4,4,2024-07-26,Reshape Data: Pivot,https://leetcode.com/problems/reshape-data-pivot,Accepted,433 ms,pythondata,2878.0,https://leetcode.com/problems/get-the-size-of-a-dataframe/submissions/1333795661/,Reshape Data: Pivot,reshape-data-pivot,Easy,
14,5,5,2024-07-26,Reshape Data: Concatenate,https://leetcode.com/problems/reshape-data-concatenate,Accepted,411 ms,pythondata,2879.0,https://leetcode.com/problems/display-the-first-three-rows/submissions/1333796326/,Reshape Data: Concatenate,reshape-data-concatenate,Easy,
15,9,9,2024-07-26,Change Data Type,https://leetcode.com/problems/change-data-type,Accepted,540 ms,pythondata,,,Change Data Type,change-data-type,Easy,
16,10,10,2024-07-26,Rename Columns,https://leetcode.com/problems/rename-columns,Accepted,384 ms,pythondata,,,Rename Columns,rename-columns,Easy,
17,33,33,2024-07-25,Next Permutation,https://leetcode.com/problems/next-permutation,Accepted,44 ms,python3,,,Next Permutation,next-permutation,Medium,"Array, Two Pointers"
18,32,32,2024-07-25,Word Break II,https://leetcode.com/problems/word-break-ii,Accepted,38 ms,python3,,,Word Break II,word-break-ii,Hard,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
19,31,31,2024-07-25,Custom Sort String,https://leetcode.com/problems/custom-sort-string,Accepted,31 ms,python3,,,Custom Sort String,custom-sort-string,Medium,"Hash Table, String, Sorting"
20,30,30,2024-07-25,Remove Zero Sum Consecutive Nodes from Linked List,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,Accepted,36 ms,python3,,,Remove Zero Sum Consecutive Nodes from Linked List,remove-zero-sum-consecutive-nodes-from-linked-list,Medium,"Hash Table, Linked List"
21,29,29,2024-07-25,Find the Pivot Integer,https://leetcode.com/problems/find-the-pivot-integer,Accepted,38 ms,python3,,,Find the Pivot Integer,find-the-pivot-integer,Easy,"Math, Prefix Sum"
22,28,28,2024-07-25,Binary Subarrays With Sum,https://leetcode.com/problems/binary-subarrays-with-sum,Accepted,217 ms,python3,,,Binary Subarrays With Sum,binary-subarrays-with-sum,Medium,"Array, Hash Table, Sliding Window, Prefix Sum"
23,40,40,2024-07-20,Count Elements With Maximum Frequency,https://leetcode.com/problems/count-elements-with-maximum-frequency,Accepted,48 ms,python3,,,Count Elements With Maximum Frequency,count-elements-with-maximum-frequency,Easy,"Array, Hash Table, Counting"
